WindGustDir,AvgRainfall,RainTomorrowRate,Count,DirectionOrder
N,1.45,27.14,9313,1
NNE,1.44,23.02,6548,2
NE,1.66,18.68,7133,3
ENE,1.88,16.12,8104,4
E,1.89,14.88,9181,5
ESE,2.28,16.43,7372,6
SE,2.58,18.62,9418,7
SSE,2.65,19.52,9216,8
S,3.21,22.54,9168,9
SSW,2.94,22.03,8736,10
SW,2.66,20.51,8967,11
WSW,2.76,23.42,9069,12
W,2.71,26.66,9915,13
WNW,2.53,28.2,8252,14
NW,2.25,28.54,8122,15
NNW,1.79,28.4,6620,16
