State,Latitude,Longitude
WA,-25.0,122.0
NT,-19.5,133.0
SA,-30.0,135.0
QLD,-22.5,144.5
NSW,-32.5,147.0
VIC,-37.1,144.0
TAS,-42.0,147.0
ACT,-35.3,149.1
